query_id,query,rank,chunk_id,document_id,score,category,relevant,partially_relevant,incorrect,duplicate,context_complete,review_notes,reviewer,reviewed_at
Q01,如何避免策略只做星间中继而不进行最终下传？,1,SRS-06:99:9691f1285b42,SRS-06,0.9605689644813538,satellite_scheduling,,,,,,,,
Q01,如何避免策略只做星间中继而不进行最终下传？,2,SRS-03:51:e8ce128a8337,SRS-03,0.9593498706817627,satellite_scheduling,,,,,,,,
Q01,如何避免策略只做星间中继而不进行最终下传？,3,RS-01:10:4faa5e1ec1fd,RS-01,0.959053099155426,reward_shaping,,,,,,,,
Q01,如何避免策略只做星间中继而不进行最终下传？,4,RS-03:40:094320b676a8,RS-03,0.9588767886161804,reward_shaping,,,,,,,,
Q01,如何避免策略只做星间中继而不进行最终下传？,5,RS-07:38:5fd5d60ae0ae,RS-07,0.9585925340652466,reward_shaping,,,,,,,,
Q02,如何同时提高最终交付及时性和任务完成率？,1,SRS-06:99:9691f1285b42,SRS-06,0.9609302282333374,satellite_scheduling,,,,,,,,
Q02,如何同时提高最终交付及时性和任务完成率？,2,RS-01:10:4faa5e1ec1fd,RS-01,0.959922194480896,reward_shaping,,,,,,,,
Q02,如何同时提高最终交付及时性和任务完成率？,3,SRS-03:51:e8ce128a8337,SRS-03,0.959202766418457,satellite_scheduling,,,,,,,,
Q02,如何同时提高最终交付及时性和任务完成率？,4,RS-03:40:094320b676a8,RS-03,0.9589431285858154,reward_shaping,,,,,,,,
Q02,如何同时提高最终交付及时性和任务完成率？,5,RS-02:44:b55fedd99748,RS-02,0.9584580659866333,reward_shaping,,,,,,,,
Q03,如何减少高优先级任务过期？,1,RS-01:10:4faa5e1ec1fd,RS-01,0.955913782119751,reward_shaping,,,,,,,,
Q03,如何减少高优先级任务过期？,2,SRS-06:99:9691f1285b42,SRS-06,0.9544424414634705,satellite_scheduling,,,,,,,,
Q03,如何减少高优先级任务过期？,3,RS-03:40:094320b676a8,RS-03,0.9537670612335205,reward_shaping,,,,,,,,
Q03,如何减少高优先级任务过期？,4,SRS-03:51:e8ce128a8337,SRS-03,0.9532169103622437,satellite_scheduling,,,,,,,,
Q03,如何减少高优先级任务过期？,5,SRS-04:62:dc7c1ecce360,SRS-04,0.9526451826095581,satellite_scheduling,,,,,,,,
Q04,如何处理地面站资源冲突？,1,SRS-03:51:e8ce128a8337,SRS-03,0.9581340551376343,satellite_scheduling,,,,,,,,
Q04,如何处理地面站资源冲突？,2,RS-01:10:4faa5e1ec1fd,RS-01,0.9574953317642212,reward_shaping,,,,,,,,
Q04,如何处理地面站资源冲突？,3,SRS-06:99:9691f1285b42,SRS-06,0.9567020535469055,satellite_scheduling,,,,,,,,
Q04,如何处理地面站资源冲突？,4,RS-03:40:094320b676a8,RS-03,0.955628514289856,reward_shaping,,,,,,,,
Q04,如何处理地面站资源冲突？,5,RS-07:38:5fd5d60ae0ae,RS-07,0.9555110931396484,reward_shaping,,,,,,,,
Q05,如何鼓励负载均衡而不让策略选择空闲？,1,RS-01:10:4faa5e1ec1fd,RS-01,0.9628019332885742,reward_shaping,,,,,,,,
Q05,如何鼓励负载均衡而不让策略选择空闲？,2,RS-03:40:094320b676a8,RS-03,0.9606732726097107,reward_shaping,,,,,,,,
Q05,如何鼓励负载均衡而不让策略选择空闲？,3,SRS-06:99:9691f1285b42,SRS-06,0.960515022277832,satellite_scheduling,,,,,,,,
Q05,如何鼓励负载均衡而不让策略选择空闲？,4,SRS-04:62:dc7c1ecce360,SRS-04,0.9590324759483337,satellite_scheduling,,,,,,,,
Q05,如何鼓励负载均衡而不让策略选择空闲？,5,RS-07:38:5fd5d60ae0ae,RS-07,0.9590303301811218,reward_shaping,,,,,,,,
Q06,协调冲突惩罚过大会造成什么问题？,1,RS-01:10:4faa5e1ec1fd,RS-01,0.9588982462882996,reward_shaping,,,,,,,,
Q06,协调冲突惩罚过大会造成什么问题？,2,SRS-06:99:9691f1285b42,SRS-06,0.9588043689727783,satellite_scheduling,,,,,,,,
Q06,协调冲突惩罚过大会造成什么问题？,3,RS-03:40:094320b676a8,RS-03,0.9586517214775085,reward_shaping,,,,,,,,
Q06,协调冲突惩罚过大会造成什么问题？,4,SRS-04:62:dc7c1ecce360,SRS-04,0.9564913511276245,satellite_scheduling,,,,,,,,
Q06,协调冲突惩罚过大会造成什么问题？,5,SRS-03:51:e8ce128a8337,SRS-03,0.9562954306602478,satellite_scheduling,,,,,,,,
Q07,奖励尺度过大会怎样影响 PPO 的 Critic？,1,RS-01:10:4faa5e1ec1fd,RS-01,0.9640978574752808,reward_shaping,,,,,,,,
Q07,奖励尺度过大会怎样影响 PPO 的 Critic？,2,SRS-06:99:9691f1285b42,SRS-06,0.9619272351264954,satellite_scheduling,,,,,,,,
Q07,奖励尺度过大会怎样影响 PPO 的 Critic？,3,RS-03:40:094320b676a8,RS-03,0.961602509021759,reward_shaping,,,,,,,,
Q07,奖励尺度过大会怎样影响 PPO 的 Critic？,4,SRS-04:62:dc7c1ecce360,SRS-04,0.9607389569282532,satellite_scheduling,,,,,,,,
Q07,奖励尺度过大会怎样影响 PPO 的 Critic？,5,RS-07:38:5fd5d60ae0ae,RS-07,0.9591717720031738,reward_shaping,,,,,,,,
Q08,如何避免奖励投机？,1,RS-01:10:4faa5e1ec1fd,RS-01,0.9590435028076172,reward_shaping,,,,,,,,
Q08,如何避免奖励投机？,2,RS-03:40:094320b676a8,RS-03,0.9552979469299316,reward_shaping,,,,,,,,
Q08,如何避免奖励投机？,3,RS-07:38:5fd5d60ae0ae,RS-07,0.9530196785926819,reward_shaping,,,,,,,,
Q08,如何避免奖励投机？,4,RS-04:73:4f25197193c0,RS-04,0.9529259204864502,reward_shaping,,,,,,,,
Q08,如何避免奖励投机？,5,SRS-04:62:dc7c1ecce360,SRS-04,0.9520963430404663,satellite_scheduling,,,,,,,,
Q09,如何设计多智能体共享团队奖励？,1,RS-01:10:4faa5e1ec1fd,RS-01,0.9595227241516113,reward_shaping,,,,,,,,
Q09,如何设计多智能体共享团队奖励？,2,RS-03:40:094320b676a8,RS-03,0.9574060440063477,reward_shaping,,,,,,,,
Q09,如何设计多智能体共享团队奖励？,3,RS-07:38:5fd5d60ae0ae,RS-07,0.9568133354187012,reward_shaping,,,,,,,,
